scenario,strategy,strategy_name,feasible,breaches_cleared,breaches_cleared_higher_deprivation,total_cost,breaches_per_million,delivery_risk_exposure,pct_of_baseline_cleared,spend_share_x1,spend_share_x2,spend_share_x3,equity_share,rank_breaches_cleared,rank_breaches_cleared_higher_deprivation,rank_breaches_per_million,rank_delivery_risk_exposure,sum_of_ranks
A2B2,S0,Hold position,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,36.0,1.0,109.0
A2B2,S1,Unconstrained optimisation,True,63493.0,63493.0,29999970.000000007,2116.4,0.0,0.21429911954939174,1.0,0.0,0.0,1.0,7.0,7.0,20.0,1.0,35.0
A2B2,S2,NHS delivery only,True,63493.0,63493.0,29999970.0,2116.4,0.0,0.21429911954939174,1.0,0.0,0.0,1.0,7.0,7.0,20.0,1.0,35.0
A2B2,S3,No in-house expansion,True,63493.0,30239.0,29999999.999999996,2116.4,1.0,0.21429911954939174,0.0,0.9999776780806566,2.2321919343312146e-05,0.4762572252059282,7.0,26.0,20.0,24.0,77.0
A2B2,S4,Diagnostic-led recovery,True,62071.0,62071.0,29999969.999999996,2069.0,0.4885,0.20949892481112248,0.5,0.0,0.5,1.0,14.0,12.0,35.0,17.0,78.0
A2B2,S5,Equity-first,True,63493.0,63493.0,29999970.000000007,2116.4,0.0,0.21429911954939174,1.0,0.0,0.0,1.0,7.0,7.0,20.0,1.0,35.0
A2B2,S6,Diversified hedge,True,63493.0,61986.0,30000000.0,2116.4,0.5,0.2142991195493917,0.5000000000000001,0.49997767808065646,2.2321919343514594e-05,0.9762651000897736,7.0,13.0,20.0,19.0,59.0
A2B2,S7,Treatment capacity only,True,63493.0,63493.0,29999970.0,2116.4,0.0,0.21429911954939174,1.0,0.0,0.0,1.0,7.0,7.0,20.0,1.0,35.0
BASE,S0,Hold position,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,36.0,1.0,109.0
BASE,S1,Unconstrained optimisation,True,60649.0,60649.0,15000000.0,4043.3,1.0,0.20469873007285322,2.098415900736128e-06,0.0,0.9999979015840992,1.0,15.0,14.0,11.0,24.0,64.0
BASE,S2,NHS delivery only,True,60649.0,60649.0,15000000.0,4043.3,1.0,0.20469873007285316,2.09841590091506e-06,0.0,0.9999979015840991,1.0,15.0,14.0,11.0,24.0,64.0
BASE,S3,No in-house expansion,True,60649.0,60649.0,15000000.0,4043.3,1.0,0.2046987300728532,0.0,2.0984159009890797e-06,0.999997901584099,1.0,15.0,14.0,11.0,24.0,64.0
BASE,S4,Diagnostic-led recovery,True,60649.0,60649.0,15000000.0,4043.3,1.0,0.20469873007285314,2.09841590122819e-06,0.0,0.9999979015840987,1.0,15.0,14.0,11.0,24.0,64.0
BASE,S5,Equity-first,True,60649.0,60649.0,15000000.000000002,4043.3,1.0,0.2046987300728532,2.098415900689242e-06,0.0,0.9999979015840994,1.0,15.0,14.0,11.0,24.0,64.0
BASE,S6,Diversified hedge,True,46198.0,46198.0,15000000.0,3079.9,0.6564,0.15592414492377454,0.5000000000000001,1.5984159011481776e-06,0.4999984015840988,1.0,20.0,19.0,18.0,21.0,78.0
BASE,S7,Treatment capacity only,True,31747.0,31747.0,15000000.0,2116.5,0.0,0.10714955977469585,1.0,0.0,0.0,1.0,26.0,25.0,19.0,1.0,71.0
